top10 tstsc pacc salar rejr spend strat apret
32.2794 74.0941 41.6344 71051.4 56.2474 18871.1 6.64841 77.1197
22.695 66.4649 44.9726 57720.6 16.776 7443.93 20.1626 68.9015
39.0492 64.3666 49.7204 57912.4 44.4426 14543.3 15.6189 58.0818
30.4588 61.6386 39.7706 66796.9 30.9623 6447.95 16.7439 43.4439
73.0368 75.7301 55.7671 65398.5 43.6941 15585.1 15.9974 52.4018
22.4015 64.0029 47.0097 59520.4 10.2568 9100.36 13.4732 63.9199
76.7694 74.5102 26.9315 68105.5 38.6707 15198.4 17.5341 54.3717
44.6914 65.701 30.6815 65297.6 29.5453 13022 19.443 55.1134
105.121 79.7525 52.5102 70803.8 65.7658 20163.6 9.14724 106.011
68.3801 75.1767 44.7911 73191 48.9416 16443.4 14.3916 75.2074
11.2272 55.9476 41.9714 57867.3 41.7868 8962.62 19.2805 30.4358
36.3038 69.8522 52.8942 60728.2 33.6089 13389.1 12.0276 50.6203
30.7461 65.3071 57.5367 59474.5 36.3939 8109.94 17.9063 71.5167
7.15069 57.0193 39.5539 53993.5 19.598 8652.7 16.1613 42.7081
40.7842 61.7173 33.8644 57816.3 16.8427 3361.35 15.7933 63.6826
44.5277 69.3157 36.9125 77618.7 40.7394 13344.5 13.8822 47.2749
43.9235 68.0988 45.3519 77746.2 30.9636 15337.7 14.0254 66.259
58.6569 71.105 61.4245 55906.8 35.7672 13762.2 15.1037 65.6547
39.1357 60.1093 50.2996 54393.6 24.9557 13970.2 8.59509 34.9706
14.5803 62.4335 45.6009 62596.7 9.47908 6454.86 11.121 38.8688
33.2777 63.2663 44.5344 49001.3 36.0483 6541.42 17.6489 45.9309
55.17 70.7812 51.2502 61823.3 57.5961 15606.7 8.03682 70.6818
5.3791 64.5738 41.6413 54869 19.2813 2603.07 18.4706 50.1393
41.6894 63.3612 11.7874 62305.5 43.5906 6168.56 17.8653 59.3686
51.0427 67.459 41.3835 56216.9 29.3156 13012.8 16.0935 53.8945
36.8306 64.0866 34.898 63729.4 26.2812 5923.89 14.5043 55.7678
40.0171 63.2535 58.0684 62851.7 35.0667 11736.7 17.4756 49.2587
50.1072 68.84 45.4594 64974.8 45.0792 10902.3 18.573 57.2377
7.38248 59.1998 51.1364 51261.7 2.72219 2299.27 15.4887 52.6748
38.9456 59.7646 40.5938 64002.1 30.0237 13795.2 17.1466 34.9645
48.9022 63.8562 75.9866 51214.2 47.3146 11321.4 11.0429 44.2776
40.2737 64.491 44.2191 61275.3 36.3759 7353.22 20.7286 60.3409
58.9737 71.3455 41.9379 62141.8 34.5054 15983.6 13.1883 73.9088
38.8223 58.9667 45.8955 47039.1 35.0413 4785.24 21.0344 43.2236
